============================
Start command conflicts with hotkeys, within identified conflicts (log file: KnownHotkeyCommandCheck.log)
[ERROR]: D used for command SpectreDomination/Spectre, in seed Z contexts=['Coop']
[ERROR]: R used for command SwannCommanderRebuild, in seed Z contexts=['Coop']
[ERROR]: R used for command SwarmHostRootBurrow, in seed Z contexts=['HotS Campaign']
[ERROR]: D used for command ThorDefensiveMatrix/Thor, in seed Z contexts=['Coop']
[ERROR]: D used for command ThorDefensiveMatrix/ThorWreckageSwann, in seed Z contexts=['Coop']
[ERROR]: T used for command Transfusion/QueenCoop, in seed Z contexts=['Coop']
[ERROR]: R used for command VespeneDrone/CommandCenter, in seed Z contexts=['Coop']
[ERROR]: R used for command VespeneDrone/PlanetaryFortress, in seed Z contexts=['Coop']
[ERROR]: E used for command VoidShadowGuardShadowFury/VorazunShadowGuard, in seed Z contexts=['Coop']
[ERROR]: E used for command VoodooShield/Spectre, in seed Z contexts=['Coop']
[ERROR]: E used for command ZagaraVoidCoopMassFrenzy/ZagaraVoidCoop, in seed Z contexts=['Coop']
[ERROR]: E used for command ZagaraVoidCoopMassFrenzy/ZagaraVoidCoopBurrowed, in seed Z contexts=['Coop']
[ERROR]: R used for command ZagaraVoidCoopNydusWorm/NydusNetwork, in seed Z contexts=['Coop']
----------------------------
Finished (command conflicts with hotkeys, within identified conflicts) - ERRORs: 198 
============================
